Date,year,Address,City,Responsetime,lat,long
2010-01-02,2010,283 38TH STR SE,Cedar Rapids,6.51,42.0143181,-91.6307498
2010-01-10,2010,1317 6TH NW,Cedar Rapids,4.06,41.985935,-91.680531
2010-01-19,2010,4141 22ND SW,Cedar Rapids,3.19,41.957516,-91.725324
2010-01-29,2010,129 27TH STR SE,Cedar Rapids,4.14,42.00323,-91.6335579
2010-01-29,2010,129 27TH STR SE,Cedar Rapids,3.26,42.00323,-91.6335579
2010-02-06,2010,1321 15TH SE,Cedar Rapids,4.36,41.9725208,-91.649068
2010-02-13,2010,394 17TH SE,Cedar Rapids,3.39,41.983908,-91.646164
2010-02-16,2010,1925 20TH NW,Cedar Rapids,6.02,41.995072,-91.6989399
2010-02-26,2010,1412 SCARLET SAGE SW,Cedar Rapids,8.07,41.916682,-91.6327994
2010-03-01,2010,5443 GORDON NW,Cedar Rapids,4.08,41.971421,-91.741801
2010-03-08,2010,2981 6TH SW,Cedar Rapids,5.2,41.9481724,-91.6767353
2010-03-12,2010,4617 J SW,Cedar Rapids,7.44,41.9327276,-91.6659564
2010-03-15,2010,2020 SCOTTY SW,Cedar Rapids,3.02,41.9584998,-91.7206067
2010-03-18,2010,2253 C SW,Cedar Rapids,5.11,41.9575581,-91.6502249
2010-03-21,2010,253 38TH STR SE,Cedar Rapids,4.21,42.0146069,-91.6307928
2010-03-24,2010,2042 LINN SE,Cedar Rapids,5.33,41.993408,-91.632357
2010-03-26,2010,3524 NORTHWOOD NE,Cedar Rapids,4.55,42.015201,-91.674922
2010-03-31,2010,1252 32ND NE,Cedar Rapids,4.44,42.01077,-91.654663
2010-04-04,2010,511 17TH SE,Cedar Rapids,5.19,41.982158,-91.646781
2010-04-05,2010,1640 F NW,Cedar Rapids,5.04,41.97944,-91.6939711
2010-04-06,2010,1442 2nd SE,Cedar Rapids,0.02,41.9871377,-91.6516762
2010-04-16,2010,1911 K SW,Cedar Rapids,4.42,41.959241,-91.668289
2010-04-16,2010,526 MEMORIAL SE,Cedar Rapids,2.49,41.98107,-91.627842
2010-04-20,2010,201 27TH STR SE,Cedar Rapids,4.26,42.003132,-91.633144
2010-04-30,2010,830 BRIDGIT SE,Cedar Rapids,6.11,42.024757,-91.618441
2010-05-06,2010,2050 GLASS NE,Cedar Rapids,4.32,42.0127384,-91.6694312
2010-05-09,2010,4200 1ST E,Cedar Rapids,5.47,42.0228456,-91.632451
2010-05-09,2010,3211 44TH NE,Cedar Rapids,10.49,42.023305,-91.687965
2010-05-10,2010,901 Oakland NE,Cedar Rapids,3.01,41.995911,-91.660087
2010-05-11,2010,2928 MEADOWBROOK SE,Cedar Rapids,3.45,41.980998,-91.624786
2010-05-16,2010,2406 Franklin NE,Cedar Rapids,8.17,42.003146,-91.644219
2010-05-31,2010,1215 32ND NE,Cedar Rapids,4.36,42.009997,-91.653128
2010-06-12,2010,1618 MORRIS NW,Cedar Rapids,5.39,41.990585,-91.726747
2010-06-25,2010,1400 SEMINOLE VALLEY NE,Cedar Rapids,6.28,42.0026004,-91.7281718
2010-06-29,2010,3230 DALEWOOD SE,Cedar Rapids,3.56,41.97871,-91.620622
2010-07-05,2010,112 OKLAHOMA AV SW,Cedar Rapids,6.52,41.917769,-91.662803
2010-07-05,2010,382 LESLEY NE,Cedar Rapids,6.35,42.0294716,-91.6899694
2010-07-11,2010,934 26TH SE,Cedar Rapids,3.14,41.975888,-91.630272
2010-07-12,2010,934 26TH SE,Cedar Rapids,3.35,41.975888,-91.630272
2010-07-18,2010,862 OAKLAND NE,Cedar Rapids,3.23,41.994578,-91.659267
2010-07-20,2010,419 36TH NE,Cedar Rapids,4.04,42.014414,-91.639191
2010-08-02,2010,304 K NW,Cedar Rapids,3.38,41.983869,-91.677818
2010-08-03,2010,1416 10TH NW,Cedar Rapids,4.4,41.9873819,-91.68615
2010-08-16,2010,937 19TH SW,Cedar Rapids,5.02,41.959493,-91.6827519
2010-08-19,2010,1412 5TH SE,Cedar Rapids,4.54,41.982993,-91.652107
2010-08-21,2010,225 5TH NW,Cedar Rapids,3.53,41.976559,-91.679069
2010-08-23,2010,1018 TIARA NE,Cedar Rapids,6.02,42.056463,-91.649972
2010-08-23,2010,411 30TH STR SE,Cedar Rapids,16.33,41.9827511,-91.6240091
2010-08-27,2010,925 N SW,Cedar Rapids,4.12,41.966354,-91.673069
2010-09-09,2010,640 16TH SW,Cedar Rapids,2.47,41.962129,-91.678741
2010-09-14,2010,219 7TH SW,Cedar Rapids,4.57,41.9723339,-91.67947
2010-09-15,2010,955 15TH SW,Cedar Rapids,4.23,41.9626189,-91.683331
2010-09-20,2010,5300 WILLOW CREEK SW,Cedar Rapids,4.02,41.9273891,-91.6938563
2010-09-23,2010,612 16TH SE,Cedar Rapids,4.24,41.981088,-91.647514
2010-09-29,2010,2975 F NW,Cedar Rapids,4.48,41.9791947,-91.7114338
2010-10-04,2010,1315 OAKLAND NE,Cedar Rapids,5,42.0023352,-91.6598855
2010-10-07,2010,3009 12TH SW,Cedar Rapids,4.04,41.9650055,-91.7107202
2010-10-10,2010,1915 GRETCHEN SW,Cedar Rapids,0.52,41.9593533,-91.7480588
2010-10-10,2010,1915 Gretchen SW,Cedar Rapids,0.52,41.9593533,-91.7480588
2010-10-11,2010,2733 2 nd SE,Cedar Rapids,4.59,42.004407,-91.632988
2010-10-13,2010,1545 2nd SE,Cedar Rapids,2.5,41.987943,-91.649851
2010-10-14,2010,1410 32 nd NE,Cedar Rapids,5.1,42.0107349,-91.656796
2010-10-20,2010,1600 BLAIRS FERRY NE,Cedar Rapids,7.45,42.0351404,-91.6608234
2010-10-22,2010,824 3RD SE,Cedar Rapids,7.5,41.981637,-91.659591
2010-10-24,2010,1218 33RD NE,Cedar Rapids,6.27,42.011476,-91.653276
2010-10-25,2010,2309 C SW,Cedar Rapids,4.43,41.9563049,-91.6475767
2010-10-27,2010,1739 4TH SE,Cedar Rapids,4.3,41.983303,-91.645019
2010-11-03,2010,3131 PEBBLE SW,Cedar Rapids,5.56,41.9476374,-91.7136842
2010-11-14,2010,7535 NORMANDY NE,Cedar Rapids,5.59,42.054031,-91.629889
2010-11-30,2010,944 M SW,Cedar Rapids,14.4,41.966146,-91.672546
2010-12-05,2010,1705 5TH SE,Cedar Rapids,5.26,41.982207,-91.646148
2010-12-05,2010,1705 5TH SE,Cedar Rapids,5.55,41.982207,-91.646148
2010-12-09,2010,2050 GLASS NE,Cedar Rapids,6,42.0127384,-91.6694312
2010-12-10,2010,1558 BEVER SE,Cedar Rapids,4.05,41.984701,-91.6483816
2010-12-15,2010,390 CRANDALL NE,Cedar Rapids,3.31,42.044999,-91.638338
2010-12-28,2010,725 41ST AVE SW,Cedar Rapids,8.24,41.9358886,-91.6449503
2010-12-29,2010,1825 WASHINGTON SE,Cedar Rapids,4.43,41.985259,-91.643591
2011-01-04,2011,433 4TH SW,Cedar Rapids,3.59,41.971691,-91.6752877
2011-01-13,2011,1617 12TH SE,Cedar Rapids,3.47,41.9734,-91.646677
2011-01-23,2011,3114 CHAPEL SW,Cedar Rapids,6.32,41.947423,-91.715661
2011-01-23,2011,2509 33RD SW,Cedar Rapids,5.58,41.944635,-91.706149
2011-01-29,2011,606 ROCKHURST SW,Cedar Rapids,7.34,41.965844,-91.764519
2011-01-30,2011,3102 33RD SW,Cedar Rapids,4.43,41.9459,-91.71213
2011-02-01,2011,8406 BRIGHTON SW,Cedar Rapids,10.12,41.897172,-91.661182
2011-02-11,2011,4000 33RD SW,Cedar Rapids,8.13,41.9460989,-91.7229459
2011-02-15,2011,4836 MONTCLAIR NW,Cedar Rapids,4.03,41.981194,-91.734229
2011-02-19,2011,1100 26TH STR NW,Cedar Rapids,6.55,41.9859517,-91.7068381
2011-03-03,2011,1100 1ST SW,Cedar Rapids,5.4,41.9721314,-91.6856572
2011-03-15,2011,2160 EDGEWOOD NW,Cedar Rapids,6.42,41.9981024,-91.7093049
2011-03-18,2011,4421 LORAINE NE,Cedar Rapids,6.01,42.026098,-91.647244
2011-03-18,2011,361 30TH STR SE,Cedar Rapids,3.58,41.98527,-91.6243719
2011-03-21,2011,3223 MOUND SE,Cedar Rapids,5.05,41.979039,-91.620627
2011-03-28,2011,2013 WEST POST SW,Cedar Rapids,5.09,41.9597856,-91.7403852
2011-03-28,2011,1708 C SW,Cedar Rapids,4.59,41.963372,-91.660866
2011-03-29,2011,2506 CANYON SW,Cedar Rapids,5.09,41.9538024,-91.7412452
2011-03-31,2011,3320 QUEEN SW,Cedar Rapids,5.17,41.944251,-91.715189
2011-04-02,2011,408 EDGEWOOD NW,Cedar Rapids,2.44,41.9775528,-91.7164456
2011-04-02,2011,4320 WESTCHESTER NE,Cedar Rapids,3.44,42.023592,-91.6853129
2011-04-05,2011,824 M NW,Cedar Rapids,5.16,41.987005,-91.684376
2011-04-05,2011,1644 13TH NW,Cedar Rapids,6.51,41.9903959,-91.690766
2011-04-10,2011,322 SUSSEX NE,Cedar Rapids,3.51,42.045983,-91.634644
2011-04-10,2011,4617 J SW,Cedar Rapids,3.58,41.9327276,-91.6659564
2011-04-16,2011,822 18TH SW,Cedar Rapids,4.3,41.961105,-91.68067
2011-04-17,2011,1526 J NE,Cedar Rapids,3.49,41.999694,-91.65611
2011-04-29,2011,2512 C NE,Cedar Rapids,4.13,42.002778,-91.639979
2011-05-05,2011,5016 1ST W,Cedar Rapids,6.41,41.9687391,-91.7358634
2011-05-20,2011,4516 WALKER NE,Cedar Rapids,5.48,42.02417,-91.664212
2011-05-23,2011,1337 19TH SW,Cedar Rapids,3.18,41.959579,-91.690377
2011-05-28,2011,632 19TH SW,Cedar Rapids,2.54,41.960036,-91.678445
2011-05-28,2011,266 LYNDA NW,Cedar Rapids,3.48,41.974051,-91.728517
2011-05-31,2011,1658 32ND NE,Cedar Rapids,3.23,42.010674,-91.661798
2011-06-01,2011,1730 C NW,Cedar Rapids,5.28,41.976383,-91.696215
2011-06-06,2011,2951 6TH SW,Cedar Rapids,4.33,41.9486241,-91.6767906
2011-06-08,2011,3939 1ST E,Cedar Rapids,2.27,42.0189488,-91.6320875
2011-06-10,2011,505 ROCKHURST SW,Cedar Rapids,8.27,41.966963,-91.763789
2011-06-13,2011,1906 TAFT SW,Cedar Rapids,5.58,41.915555,-91.626236
2011-06-15,2011,5521 PLAINVIEW NW,Cedar Rapids,6.32,41.9746219,-91.743368
2011-06-15,2011,1106 REGENT NE,Cedar Rapids,6.03,42.024615,-91.651263
2011-06-19,2011,226 27TH NW,Cedar Rapids,5.28,41.9733637,-91.708479
2011-06-19,2011,330 29TH STR SE,Cedar Rapids,5.43,41.9805675,-91.625729
2011-06-20,2011,925 N SW,Cedar Rapids,5.5,41.966354,-91.673069
2011-06-24,2011,? MOUNT VERNON RD SE,Cedar Rapids,3.47,41.9767956,-91.593647
2011-06-27,2011,2121 ROCKFORD SW,Cedar Rapids,3.29,41.958419,-91.693963
2011-07-01,2011,1436 M SW,Cedar Rapids,4.14,41.963118,-91.672537
2011-07-09,2011,393 EDGEWOOD NW,Cedar Rapids,3.46,41.9771454,-91.7159472
2011-07-13,2011,2237 BIRCHWOOD NE,Cedar Rapids,5.07,42.014674,-91.6743089
2011-07-13,2011,1611 CENTER POINT NE,Cedar Rapids,5.15,42.0053485,-91.6630753
2011-07-16,2011,1049 F NW,Cedar Rapids,4.21,41.978775,-91.688246
2011-07-17,2011,337 24TH NW,Cedar Rapids,4.38,41.975654,-91.705476
2011-07-17,2011,337 24 NW,Cedar Rapids,5.51,41.975654,-91.705476
2011-07-17,2011,337 24 NW,Cedar Rapids,5.51,41.975654,-91.705476
2011-07-20,2011,925 N SW,Cedar Rapids,3.57,41.966354,-91.673069
2011-07-22,2011,7009 KENT NE,Cedar Rapids,2.56,42.048372,-91.629757
2011-07-28,2011,3127 WESTWOOD NW,Cedar Rapids,5.01,41.984916,-91.713532
2011-07-30,2011,1150 6th SE,Cedar Rapids,5.08,41.9725774,-91.6548191
2011-07-30,2011,1100 6th SE,Cedar Rapids,5.08,41.9729278,-91.6556333
2011-08-05,2011,1030 MEMORIAL SE,Cedar Rapids,4,41.974926,-91.627422
2011-08-13,2011,902 16TH SE,Cedar Rapids,5.38,41.971079,-91.652482
2011-08-14,2011,902 16th St SE,Cedar Rapids,5.43,41.9779292,-91.6465
2011-08-20,2011,5805 MUIRFIELD SW,Cedar Rapids,6.13,41.919917,-91.634575
2011-08-25,2011,1541 D NE,Cedar Rapids,2.35,41.992058,-91.654224
2011-08-27,2011,2417 DESOTO SW,Cedar Rapids,8.33,41.9550663,-91.7542165
2011-08-29,2011,4333 1ST SW,Cedar Rapids,2.52,41.9671918,-91.7270598
2011-09-05,2011,1919 CACH SW,Cedar Rapids,4.25,41.959049,-91.659628
2011-09-05,2011,725 41ST AVE SW,Cedar Rapids,6.4,41.9358886,-91.6449503
2011-09-06,2011,1505 48TH NE,Cedar Rapids,7.02,42.026064,-91.658741
2011-09-08,2011,2222 1ST E,Cedar Rapids,9.04,41.9978689,-91.637401
2011-09-09,2011,1225 2ND SE,Cedar Rapids,3.44,41.984304,-91.65589
2011-09-11,2011,1717 D SW,Cedar Rapids,5.58,41.9630469,-91.661892
2011-09-14,2011,1950 DODGE NE,Cedar Rapids,6.12,42.027372,-91.6671739
2011-09-16,2011,6506 COLORADO SW,Cedar Rapids,8.05,41.915339,-91.664424
2011-09-18,2011,2911 LONG BLUFF NE,Cedar Rapids,5.33,42.009123,-91.69408
2011-09-24,2011,1371 19TH SW,Cedar Rapids,4.52,41.959591,-91.691443
2011-09-25,2011,2128 NORTH TOWNE NE,Cedar Rapids,6.04,42.0329651,-91.6711247
2011-09-26,2011,1525 7th Ave SE,Cedar Rapids,5.58,41.9802729,-91.649279
2011-10-01,2011,1400 3RD NW,Cedar Rapids,4.06,41.9868237,-91.6773551
2011-10-02,2011,344 19TH SE,Cedar Rapids,5.27,41.987315,-91.642452
2011-10-05,2011,209 7th SE,Cedar Rapids,4.27,41.9809636,-91.6621983
2011-10-07,2011,1121 3RD SW,Cedar Rapids,3.43,41.9662625,-91.670044
2011-10-13,2011,82 SIMPSON SW,Cedar Rapids,5.4,41.9236855,-91.6507005
2011-10-13,2011,82 Simpson SW,Cedar Rapids,6.24,41.9236855,-91.6507005
2011-10-19,2011,2014 K SW,Cedar Rapids,4,41.95822,-91.669068
2011-10-26,2011,120 23RD STR SE,Cedar Rapids,7.14,41.999434,-91.635448
2011-10-26,2011,120 23RD STR SE,Cedar Rapids,4.26,41.999434,-91.635448
2011-10-29,2011,1425 60TH SW,Cedar Rapids,8.23,41.914363,-91.689853
2011-11-01,2011,900 CENTER POINT NE,Cedar Rapids,4.04,41.995861,-91.662313
2011-11-02,2011,1243 20TH SW,Cedar Rapids,5.14,41.958778,-91.6876558
2011-11-08,2011,826 17TH SE,Cedar Rapids,3.41,41.97857,-91.646127
2011-11-12,2011,720 29TH SE,Cedar Rapids,3.54,41.9779484,-91.6256142
2011-11-13,2011,4861 1ST W,Cedar Rapids,3.55,41.9668185,-91.7338273
2011-11-16,2011,1710 16TH SE,Cedar Rapids,5.24,41.969297,-91.6458959
2011-11-17,2011,1050 WENIG NE,Cedar Rapids,6.19,41.999665,-91.676801
2011-11-30,2011,1552 7TH SE,Cedar Rapids,4.13,41.980726,-91.648138
2011-12-07,2011,255 15TH NW,Cedar Rapids,6.11,41.973527,-91.691566
2011-12-13,2011,400 COLLINS NE,Cedar Rapids,5.13,42.0280838,-91.6324042
2011-12-17,2011,5560 6TH SW,Cedar Rapids,3.24,41.923874,-91.677552
2011-12-22,2011,100 5TH AV SW,Cedar Rapids,4,41.9727767,-91.6706981
2011-12-23,2011,505 9TH SW,Cedar Rapids,4.33,41.970477,-91.680972
2011-12-23,2011,4900 16TH SW,Cedar Rapids,1.17,41.9648399,-91.7348633
2011-12-24,2011,1140 PARK NE,Cedar Rapids,5.15,42.0307634,-91.6520684
2011-12-25,2011,1515 ARIZONA NE,Cedar Rapids,5.2,42.015633,-91.658411
2011-12-29,2011,3300 C SW,Cedar Rapids,6.49,41.943937,-91.638699
2011-12-29,2011,824 6TH SW,Cedar Rapids,3.12,41.9678677,-91.6770964
2012-01-02,2012,310 5TH SE,Cedar Rapids,5.02,41.9759389,-91.663465
2012-01-02,2012,130 JACOLYN SW,Cedar Rapids,3.16,41.966216,-91.731478
2012-01-03,2012,6702 ARBOR NE,Cedar Rapids,4.19,42.045533,-91.661878
2012-01-03,2012,6702 ARBOR NE,Cedar Rapids,5.32,42.045533,-91.661878
2012-01-03,2012,6702 ARBOR NE,Cedar Rapids,5.32,42.045533,-91.661878
2012-01-04,2012,362 19TH SE,Cedar Rapids,4.46,41.985976,-91.6425299
2012-01-10,2012,406 E NW,Cedar Rapids,1.45,41.9786252,-91.8039032
2012-01-16,2012,1014 Bealer SE,Cedar Rapids,5.12,41.977033,-91.651435
2012-01-16,2012,1010 Bealer SE,Cedar Rapids,5.12,41.9769859,-91.651541
2012-01-23,2012,3538 ELMWOOD NE,Cedar Rapids,7.12,42.015259,-91.675851
2012-01-25,2012,511 21ST NE,Cedar Rapids,6.06,41.999009,-91.643708
2012-01-29,2012,2725 TERESA SW,Cedar Rapids,4.09,41.951052,-91.655333
2012-01-31,2012,1427 4TH SE,Cedar Rapids,2.57,41.983419,-91.651672
2012-02-01,2012,5712 ADDISON NE,Cedar Rapids,5.04,42.0353939,-91.647107
2012-02-03,2012,1707 WASHINGTON SE,Cedar Rapids,5.38,41.985329,-91.6459
2012-02-03,2012,7525 BERTRAM SE,Cedar Rapids,11.31,41.9614859,-91.5698543
2012-02-10,2012,1319 SIERRA NE,Cedar Rapids,5.34,42.002481,-91.669364
2012-02-11,2012,1227 BELMONT NW,Cedar Rapids,6.41,41.984695,-91.702466
2012-02-12,2012,2729 BRYANT SW,Cedar Rapids,6.2,41.952159,-91.750705
2012-02-20,2012,141 37TH NE,Cedar Rapids,3.46,42.0159214,-91.6365121
2012-02-24,2012,421 C NW,Cedar Rapids,3.39,41.977526,-91.679449
2012-02-26,2012,215 22ND NW,Cedar Rapids,5.11,41.973146,-91.703066
2012-02-27,2012,7330 Revere NE,Cedar Rapids,3.31,42.051352,-91.637298
2012-03-01,2012,6000 SHARON NW,Cedar Rapids,5.15,41.973612,-91.748169
2012-03-02,2012,1651 34TH SE,Cedar Rapids,5.29,41.967989,-91.619001
2012-03-02,2012,2263 C SW,Cedar Rapids,4.35,41.9573872,-91.6500042
2012-03-03,2012,2040 GLASS NE,Cedar Rapids,6.08,42.0135618,-91.6693502
2012-03-09,2012,1606 SIERRA NE,Cedar Rapids,5.35,42.005189,-91.667607
2012-03-09,2012,1604 Sierra NE,Cedar Rapids,3.23,42.0050592,-91.6681777
2012-03-10,2012,5625 SKYLINE NW,Cedar Rapids,6.05,41.97059,-91.744694
2012-03-16,2012,1221 SIERRA NE,Cedar Rapids,6.04,42.002481,-91.669364
2012-03-16,2012,1221 Sierra NE,Cedar Rapids,6.47,42.002481,-91.669364
2012-03-16,2012,1221 Sierra NE,Cedar Rapids,6.47,42.002481,-91.669364
2012-03-16,2012,1221 Sierra NE,Cedar Rapids,6.47,42.002481,-91.669364
2012-03-16,2012,1221 Sierra NE,Cedar Rapids,6.47,42.002481,-91.669364
2012-03-19,2012,1025 G NW,Cedar Rapids,3.46,41.979811,-91.687306
2012-03-25,2012,308 JACOLYN SW,Cedar Rapids,3.28,41.964872,-91.733186
2012-03-29,2012,3317 ROSEWOOD NE,Cedar Rapids,5.08,42.012169,-91.668818
2012-03-29,2012,836 9TH SW,Cedar Rapids,4.02,41.967493,-91.681633
2012-04-04,2012,1001 1ST SW,Cedar Rapids,1.32,41.9721651,-91.6845876
2012-04-06,2012,1714 34TH NE,Cedar Rapids,6.49,42.013837,-91.662341
2012-04-11,2012,5920 WABASH SW,Cedar Rapids,5.45,41.956163,-91.7458754
2012-04-12,2012,188 JACOLYN NW,Cedar Rapids,3.19,41.971029,-91.732544
2012-04-12,2012,1220 AUBURN SW,Cedar Rapids,2.56,41.9648971,-91.7194784
2012-04-16,2012,1000 Ellis NW,Cedar Rapids,3.57,41.981867,-91.682406
2012-04-16,2012,1005 Ellis NW,Cedar Rapids,4.56,41.9819249,-91.6818344
2012-04-16,2012,1010 Ellis NW,Cedar Rapids,4.56,41.982128,-91.68241
2012-04-16,2012,914 Ellis NW,Cedar Rapids,4.56,41.9815449,-91.682377
2012-04-17,2012,2800 A NE,Cedar Rapids,2.42,42.005353,-91.636714
2012-04-30,2012,418 2ND NE,Cedar Rapids,3.05,41.9808548,-91.6704926
2012-05-01,2012,3131 D NE,Cedar Rapids,4,42.009571,-91.639841
2012-05-02,2012,506 19TH NE,Cedar Rapids,3.37,41.996553,-91.647672
2012-05-06,2012,6816 COLLEGE PARK SW,Cedar Rapids,7.52,41.912743,-91.660865
2012-05-17,2012,2321 BLAKELY SE,Cedar Rapids,6.32,41.954508,-91.634182
2012-05-18,2012,2044 NORTH TOWNE NE,Cedar Rapids,5.42,42.0329825,-91.6696844
2012-05-18,2012,258 12TH NW,Cedar Rapids,3.23,41.97421,-91.688608
2012-05-23,2012,81 26TH SW,Cedar Rapids,3.44,41.951951,-91.662457
2012-05-27,2012,703 3RD SW,Cedar Rapids,4,41.9698769,-91.6716019
2012-05-27,2012,220 7th SW,Cedar Rapids,4.37,41.970276,-91.671733
2012-05-30,2012,? 5TH ST SE,Cedar Rapids,4.53,41.97556,-91.660151
2012-06-01,2012,1736 B NE,Cedar Rapids,5.22,41.992967,-91.6493689
2012-06-08,2012,1508 C NE,Cedar Rapids,2.05,41.991186,-91.654773
2012-06-15,2012,2040 GLASS NE,Cedar Rapids,4.23,42.0135618,-91.6693502
2012-06-18,2012,1052 MOUNT VERNON SE,Cedar Rapids,4.04,41.9779076,-91.6521324
2012-06-24,2012,159 38TH NE,Cedar Rapids,4.2,42.016826,-91.6369
2012-06-24,2012,161 38th. NE,Cedar Rapids,4.42,42.016831,-91.637084
2012-06-24,2012,161 38th. NE,Cedar Rapids,4.42,42.016831,-91.637084
2012-06-24,2012,919 6TH SW,Cedar Rapids,3.2,41.966901,-91.676107
2012-06-24,2012,447 9th SW,Cedar Rapids,4.21,41.967223,-91.6765719
2012-06-24,2012,441 9th SW,Cedar Rapids,4.21,41.967215,-91.676057
2012-06-24,2012,443 9th SW,Cedar Rapids,4.21,41.967219,-91.676278
2012-06-24,2012,459 9th SW,Cedar Rapids,4.21,41.9674782,-91.6768797
2012-06-25,2012,4302 HOLLY NE,Cedar Rapids,10.2,42.0437269,-91.71383
2012-07-02,2012,5537 NORTH TOWNE NE,Cedar Rapids,5.44,42.034442,-91.6727027
2012-07-04,2012,1857 WILSON SW,Cedar Rapids,4.45,41.95583,-91.6988949
2012-07-06,2012,818 PAWNEE NW,Cedar Rapids,5.08,41.980462,-91.691621
2012-07-08,2012,4444 1ST E,Cedar Rapids,5.33,42.0255179,-91.6272126
2012-07-10,2012,700 41ST AVE SW,Cedar Rapids,6.27,41.940606,-91.648071
2012-07-11,2012,418 2ND NE,Cedar Rapids,8.05,41.9808548,-91.6704926
2012-07-16,2012,3631 WESTERN PINE NE,Cedar Rapids,5.44,42.030992,-91.693546
2012-07-22,2012,1002 A NW,Cedar Rapids,4.44,41.973711,-91.685541
