Covered_Recipient_Type,Teaching_Hospital_ID,Teaching_Hospital_Name,Physician_Profile_ID,Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
Covered Recipient Physician,,,55556,CLIFFORD,KENT,BOESE,1 EDMUNDSON PL,STE 500,COUNCIL BLUFFS,51503-4619,Medical Doctor,Allopathic & Osteopathic Physicians/ Orthopaedic Surgery,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,800.00,04/01/2014,Cash or cash equivalent,120278745,,,"Short, Medium and Long Term Survivorship of Attune Primary Total Knee Prostheses",,
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1125.00,12/05/2014,In-kind items and services,120244693,,,"NAVISTAR THERMOCOOL SF Catheter  Observational Study in a Younger and Older Drug Refractory, Recurrent, Symptomatic Paroxysmal AF Population",,
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1062.50,01/23/2014,In-kind items and services,120244689,,,"NAVISTAR THERMOCOOL SF Catheter  Observational Study in a Younger and Older Drug Refractory, Recurrent, Symptomatic Paroxysmal AF Population",,
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,500.00,02/24/2014,In-kind items and services,120244691,,,"NAVISTAR THERMOCOOL SF Catheter  Observational Study in a Younger and Older Drug Refractory, Recurrent, Symptomatic Paroxysmal AF Population",,
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,625.00,09/16/2014,In-kind items and services,120244699,,,"NAVISTAR THERMOCOOL SF Catheter  Observational Study in a Younger and Older Drug Refractory, Recurrent, Symptomatic Paroxysmal AF Population",,
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1300.00,09/16/2014,In-kind items and services,120244695,,,"NAVISTAR THERMOCOOL SF Catheter  Observational Study in a Younger and Older Drug Refractory, Recurrent, Symptomatic Paroxysmal AF Population",,
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 HAWKINS DRIVE 1353 JCP,,IOWA CITY,52242,,,"Biosense Webster, Inc.",100000005693,"Biosense Webster, Inc.",CA,1706.25,09/16/2014,In-kind items and services,120244697,,,"NAVISTAR THERMOCOOL SF Catheter  Observational Study in a Younger and Older Drug Refractory, Recurrent, Symptomatic Paroxysmal AF Population",,
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1200.00,05/19/2014,Cash or cash equivalent,131474344,,,LONGITUDINAL SURVEILLANCE REGISTRY OF 4 SITE,,
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1100.00,07/03/2014,Cash or cash equivalent,131464522,,,MULTISENSOR CHRONIC EVALUATIONS IN AMBULATORY HEART FAILURE,,
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1671.61,04/04/2014,Cash or cash equivalent,131464526,,,MULTISENSOR CHRONIC EVALUATIONS IN AMBULATORY HEART FAILURE,,
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,3500.00,01/06/2014,Cash or cash equivalent,131474664,,,ION US COA,,
